address,balance,usd_value,share
0x82ccddd324a6c14861cb622da051579d4e99ac54,32319671.585719,229.490132,0.123236964
0x92c011a3341a1ac5f96774255d390b10a425bb66,25776633.011108,183.030415,0.098287942
0x6e18f22ea7869e47792e5440d4f78f3f1da0520b,19789962.059337,140.521261,0.075460384
0x0802e4a803d80b2f294ddd38a915c1bd5fef4491,19447067.913972,138.086495,0.074152907
0x8f772af47d8b510d859f47398b43864ddd3f435d,19315487.805139,137.152193,0.073651184
0xa99818472259d1e7254392b98c3109abee5d8005,15115733.261325,107.331277,0.057637252
0xea7f6b9e9a117488c31798d47a104c7a87205ac9,10304002.003964,73.164938,0.039289815
0x4e2c1ac176b783798e7130b8d9868ded83a41cdd,9737245.589815,69.140609,0.037128737
0x792ad4c149889f6d23ceb99011ab0a6c608c6438,9681917.215720,68.747742,0.036917766
0xa6a6d3123cc7503846e9765e0de8b533a153f7aa,9675941.135164,68.705308,0.036894979
0x2e5453a5f77a80fe7bfd09d98fd53d2cf2f46bbc,9229130.400310,65.532669,0.035191261
0x5f75c1a38d8eab51449e3ab798a45f6b41dfaa91,8844759.803628,62.803395,0.033725632
0x1d21ba45bc96abdf33bc7aef0f5addcb14806a93,8832792.641762,62.718420,0.033680000
0xff9ab6e0c224fbf363bd00ec10506841143064ba,7695474.547349,54.642742,0.029343334
0x12c1ee5af6912159509f3943156ecce348b703cf,7323328.370644,52.000268,0.027924317
0xc2c731415aa525643cb25fc124e4b5caa21f4798,7287318.474621,51.744575,0.027787009
0x1273b309a03d99c1ce81015d9d754135363473a4,7061888.292064,50.143878,0.026927429
0x610f80f21d8dbecd6b1951fe890d5f296a88a9d0,6000000.000000,42.603799,0.022878381
0xdf0a4bd074a23b687a5a8d76c35a73d16b0d983c,4434508.254006,31.487816,0.016909062
0xb2db7f03aa0ec91895a3fe38ec461822a570d234,3756061.473053,26.670415,0.014322101
0x98b0cf7f35ad9ed7defa9c5b012530b66d139a4d,3692940.087716,26.222213,0.014081415
0x9f7ce901e5cea41ebd00dca71cf4146f9a023eaf,2390768.473340,16.975970,0.009116152
0x4123ffc81579e38dfff74b75d8bdf21c41e62237,2097856.095517,14.896107,0.007999258
0x2af6861c743cf0a12f033a851071187848ace750,1504419.925387,10.682334,0.005736448
0x926a847eddadfb320dcb204cb0fe8a050a04172c,1353106.859692,9.607915,0.005159482
0x4b6d484634e44f7bd8f1c0975ac86c087ca39744,1345627.928335,9.554810,0.005130964
0x343e59f5148f3f5c3121f5337f3c19778b5fe534,1033745.706894,7.340249,0.003941738
0xf575e25dd485a0c621b7e6a346f4a2fc6af7cae4,1007722.679699,7.155469,0.003842510
0xb7508dd840fd2aa532f44610d2c62b9593aa0fcb,833977.287169,5.921767,0.003180008
0xfef55f02dc6dfd96e6f857aec329f6d65d813813,616752.982979,4.379337,0.002351718
0xf028cad7afc6623e017616d9aacfd6ce81c17bd5,490044.955972,3.479629,0.001868572
0x4acb6c4321253548a7d4bb9c84032cc4ee04bfd7,488637.592296,3.469636,0.001863206
0xc2f7aa84ba47215672ce54badde050e8ad0d00d7,471855.925340,3.350476,0.001799216
0x89dbe7dec4c2f2df6f75239847c687e02e5efb53,452985.476543,3.216484,0.001727262
0x09a86b384cb3aec6e5fc82262d538be208d0c312,391791.256451,2.781966,0.001493924
0x01c6abd25e6f03afcd9f30ca80eb0dc26433658f,366434.699533,2.601918,0.001397238
0x1158316308eb1a5a47329f8fead688298b7016e1,326046.941582,2.315140,0.001243237
0x21a6252e41e4e95700bd1e2af592286c78091f61,302479.524086,2.147796,0.001153373
0xb19dbb6c2a9273978e85a795598a3aa9e0c646bf,277302.004785,1.969020,0.001057370
0x8a137bba0d7c0964dd814dfc797aefc04985fdd2,275909.730736,1.959134,0.001052061
0xa0958d0b5496c93959b1725bbfe35872159c8511,197636.407787,1.403344,0.000753600
0x78aacb90f186bf118bfc0d8c64896f970221c5d3,188844.256463,1.340914,0.000720075
0x0e331a293bb22e93e2e5e417d84d755ae185da02,62001.844684,0.440252,0.000236416
0x48b51287fb5281ea0913100809c3b7f1649c7996,55314.298259,0.392767,0.000210916
0xa4d9d7068d84bbdf2e3caf1bbf2e1135bcd41984,54040.321039,0.383720,0.000206059
0xfeeac21c90b9291209f5f0fdc271aef3feef303d,52633.325926,0.373730,0.000200694
0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,49985.144046,0.354926,0.000190596
0x53d0e7987dd6e7248fea01f28d79811d26681ad6,40072.802012,0.284542,0.000152800
0xf3dcc71f969bd49cdcb119b71b60aeadd82c6235,37001.600871,0.262735,0.000141089
0x2cffed5d56eb6a17662756ca0fdf350e732c9818,36840.946967,0.261594,0.000140476
0x2a3d35921957eda17537c061a3071d351c0a1a68,28915.155136,0.205316,0.000110255
0x7ea013ef0dd4fecfe7bb7cdfc19528eb3f2d58fd,23000.006568,0.163315,0.000087700
0x1392f829825680f442432f5faf0730c930fb853e,21257.514608,0.150942,0.000081056
0xae1c0c6ef0d74ea18bea4dece0e5307617af9fa4,20097.599751,0.142706,0.000076633
0xc06ebbefd94032b85424d51906e2a335efae264b,18207.420791,0.129284,0.000069426
0xd0a67cb08be17475f4315a04c5f0be3e200ef66c,5562.625407,0.039498,0.000021210
0x177959675380c537b4437ba936529d183609d364,5013.592889,0.035600,0.000019117
0xe911f518449ba0011d84b047b4cde50daa081ec1,4619.008984,0.032798,0.000017612
0x5aafc1f252d544f744d17a4e734afd6efc47ede4,4389.081442,0.031165,0.000016735
0xecf6b505ec00141edb4e719fc7d547db6aeb3f2c,351.364853,0.002495,0.000001339
0xdb4853f56f9bc7acadac1b4af406853c61391141,300.869851,0.002136,0.000001147
0x2e66128ed4c5e0a8541b315385790b29a71336b8,248.167492,0.001762,0.000000946
0xf5c4f3dc02c3fb9279495a8fef7b0741da956157,200.261225,0.001422,0.000000763
