address,balance,reason
0x8366a39cc670b4001a1121b8f6a443a643e40951,610274458.508474,contract
0x000000000000000000000000000000000000dead,36300495.016297,burn/dead
0x417c877e5a6cba2504ee08a004189ba74858a040,19926010.676480,contract
0xc28591845548476957e56f30ccbd3795f782ffe5,15233079.805708,contract
0xda8aa60a5b4260c81bca5c202486d029448734f0,10733451.136995,contract
0x500d3d03fc09191914bcde542f7058f08b043a28,9432003.475600,contract
0xd931fba096a854d861e7f54a8e1f894ba5e36aaa,6958753.590372,contract
0x485916b36087eed258ee5714ff0f02c8ce9011df,6396721.583976,contract
0x6ed1520a6ab83b4d5b205ddb70a3c144944186c5,5789722.403815,contract
0xd523ae07205b9bd51411c096f71a68c4605bda3b,3674343.794959,contract
0x323726b40aa38a0ab202f61bba0dad821b170195,3129747.527196,contract
0xbbc3c841d20f2f35a3a3507dca139987ab674c07,2000000.000000,contract
0xacdd1ccbfcacb15b7b5d776cfde218b315264562,1816566.182773,contract
0x8a68bb6fa418d1bba1feacba184ea48aff001849,1665441.684252,contract
0x699d1a6fd11e66909ce1c6c38e0780606032ccd4,1250389.725898,contract
0x3fdc5d8772f85cc9f5f0c99cc673398ed1cdf1a6,812369.691526,contract
0x3cf3ab2e2c293a5f2216c55d0c0d48e60af1145f,541955.627685,contract
0x0a6ebed0155edb4b21d92ad02897a626cd90119e,438622.383808,contract
0xdc4b74a9d079ff63176e2ee6f759cb615b6d9816,291227.600865,contract
0x885463328f29465968d065ec5636e9295ad0bf0e,204443.219192,contract
0x8520f0b8365ea554a769be7910a3a3bca23605e4,185918.676672,contract
0x4834f9b7f6e887bdf25e264d6bf25783d48e9c9e,164151.329026,contract
0x423982a30ecf4f8f00711f283d538b6fa75d47f0,140638.174004,contract
0x05036487d03474cdb34347982d05f4e05795172b,124845.767559,contract
0x1091c63853a51e9ad87d599d4178a221ec144c38,61908.330574,contract
0x224fc437220ad07893e4c2c622b93e0ec6e6e9b6,38817.963525,contract
0x23742114c690885cc1a1c2aff7d5a86986a723c1,29523.754180,contract
0x1111110f0f73c0b2ef09ec012eae758b3e03a902,27475.900549,contract
0xceef688898e20480a55e58226027a673eb946395,24023.995452,contract
0x8a0895783195ba87be5c03744cd78bfbb527f6a4,19796.202516,contract
0x17c7c05bbf24489b32dc652d237ef61cf5b4fcf4,14108.526770,contract
0xaa79d4784a9b1892c7a813a2bc464b0bbb9ca4c2,12969.363302,contract
0xc6c08c0acbe73246a04fc89d1359c9cfae3e7cc7,8889.733336,contract
0x1111115af63bfbcc151e5753e2ea1a29c79d2f01,8436.087110,contract
0x52866fd157577897ce627022b9c19bd2e622fd7a,6555.250688,contract
0x5bfc1afcb0441ddcdf4e7394056c90d435261adb,4409.556933,contract
0x00000000009726632680fb29d3f7a9734e3010e2,860.795390,contract
0xc5b13b5127fc19705a2d35170ed050855b271188,364.714052,contract
0xca23ec49a6153ae6823fd647e80922a5b818db4b,185.445826,contract
0x48a097df16c7844a33b1c3d11ab353457846e13f,4.536900,contract
0x20f6ee51340adeed01a59b0e65cb3703f3dc860c,2.181301,contract
0xc2a39b5c49eed1fe1ff034c13c4747547713d3f1,0.094058,contract
0x40132e775e14ef3a946fa5624468715456fa0be4,0.001755,contract
0x21338cd0648fb087ca0ddd90474fb90d4caed5a0,0.000000,contract
0x00000000cf1cd5867be5d90b99a6ebd683bc031c,0.000000,contract
0x006e7344af2635a950bdc44a0f9026323333ab1a,0.000000,contract
0x39e97c54ba9a2ebe273e052aa0926b0a6cb05077,0.000000,contract
0xd1c68f738a407f6e3b06da3e97d8acf3c990a0c0,0.000000,contract
0xc548a8dd12bcb0ca1cc655ff3dff3b18c3e76c13,0.000000,contract
0xdda49c176b1088cbce437539ac0a6274f9378836,0.000000,contract
0x16287dc040d2c18f605c6798a3811b9624b3f602,0.000000,contract
0x7fc81923eaaa1aeae0fc0026e0d5c363da0e19e3,0.000000,contract
0xe62160d584a4b1c1e102f5b95e94715625b3cc85,0.000000,contract
0x0140af50694a312b81d8bff8c97b9303e451b356,0.000000,contract
0xd55cd7d1c0c3b4c634bc04aa01ed79750a1a332f,0.000000,contract
0x03fb80d44771d05b0e1e56634d0777bf5df0699f,0.000000,contract
0x4f3f12289ed2314aee772075e4e575cace2ddfc3,0.000000,contract
0xa3d71fcbc6076fee5553fa3bc27b5a225e9da7c6,0.000000,contract
0xbe043844e0b7713b4c7841dccb3c4e1c6ea5ecf9,0.000000,contract
0xe71cbfe29c49131db45f2c1e1835c652aa90dbd0,0.000000,contract
0x8ad60fae44dd6aafd8a98b7f25ead026013efdf2,0.000000,contract
0x2ca37ff95caf25366ef16fc2e655b78a165d125f,0.000000,contract
0x8f10b468b06c6fd214b65f87778827f7d113f996,0.000000,contract
